Date,Open,High,Low,Close
17-April-2023,60385.9,60407.86,59442.47,59910.75
18-April-2023,59991.26,60113.47,59579.3,59727.01
19-April-2023,59745.89,59745.89,59452.72,59567.8
20-April-2023,59586.61,59836.79,59489.98,59632.35
21-April-2023,59538.79,59781.36,59412.81,59655.06
24-April-2023,59873.71,60101.64,59620.11,60056.1
25-April-2023,60202.77,60268.67,59967.02,60130.71
26-April-2023,60087.98,60362.79,59954.91,60300.58
27-April-2023,60315.56,60698.31,60271.49,60649.38
28-April-2023,60721.61,61209.46,60507.83,61112.44
2-May-2023,61301.61,61486.24,61255,61354.71
3-May-2023,61274.96,61274.96,61024.44,61193.3
4-May-2023,61258.13,61797.91,61119.56,61749.25
5-May-2023,61163.1,61585.5,61002.17,61054.29
8-May-2023,61166.09,61854.19,61166.09,61764.25
9-May-2023,61879.68,62027.51,61654.94,61761.33
10-May-2023,61843.36,61974.35,61572.93,61940.2
11-May-2023,62158.1,62168.22,61823.07,61904.52
12-May-2023,61857.69,62110.93,61578.15,62027.9
15-May-2023,62157.1,62562.67,61950.3,62345.71
16-May-2023,62474.11,62475.95,61847.41,61932.47
17-May-2023,61932.32,61979.94,61340.1,61560.64
18-May-2023,61937.86,61955.9,61349.34,61431.74
19-May-2023,61556.25,61784.61,61251.7,61729.68
22-May-2023,61579.78,62044.46,61579.78,61963.68
23-May-2023,62098.16,62245.19,61914.4,61981.79
24-May-2023,61834.28,62154.14,61708.1,61773.78
25-May-2023,61706.13,61934.01,61484.66,61872.62
26-May-2023,61985.36,62529.83,61911.61,62501.69
29-May-2023,62801.54,63026,62801.54,62846.38
30-May-2023,62839.85,63036.12,62737.4,62969.13
31-May-2023,62839.97,62876.77,62401.02,62622.24
1-June-2023,62736.47,62762.41,62359.14,62428.54
2-June-2023,62601.97,62719.84,62379.86,62547.11
5-June-2023,62759.19,62943.2,62751.72,62787.47
6-June-2023,62738.35,62867.95,62554.21,62792.88
7-June-2023,62917.39,63196.43,62841.95,63142.96
8-June-2023,63140.17,63321.4,62789.73,62848.64
9-June-2023,62810.68,62992.16,62594.74,62625.63
12-June-2023,62659.98,62804.89,62615.2,62724.71
13-June-2023,62779.14,63177.47,62777.04,63143.16
14-June-2023,63115.48,63274.03,63013.51,63228.51
15-June-2023,63153.78,63310.96,62871.08,62917.63
16-June-2023,62960.73,63520.36,62957.17,63384.58
19-June-2023,63474.21,63574.69,63047.83,63168.3
20-June-2023,63176.77,63440.19,62801.91,63327.7
21-June-2023,63467.46,63588.31,63315.62,63523.15
22-June-2023,63601.71,63601.71,63200.63,63238.89
23-June-2023,63124.28,63240.63,62874.12,62979.37
26-June-2023,62946.5,63136.09,62853.67,62970
27-June-2023,63151.85,63467.54,63054.84,63416.03
28-June-2023,63701.78,64050.44,63554.82,63915.42
30-June-2023,64068.44,64768.58,64068.44,64718.56
3-July-2023,64836.16,65300.35,64836.16,65205.05
4-July-2023,65503.85,65672.97,65171.06,65479.05
5-July-2023,65493.68,65584.33,65256.49,65446.04
6-July-2023,65391.88,65832.98,65328.29,65785.64
7-July-2023,65559.41,65898.98,65175.74,65280.45
10-July-2023,65482.33,65633.49,65246.4,65344.17
11-July-2023,65598.65,65870.59,65517.57,65617.84
12-July-2023,65759.28,65811.64,65320.25,65393.9
13-July-2023,65667.07,66064.21,65452.15,65558.89
14-July-2023,65775.49,66159.79,65610.82,66060.9
17-July-2023,66148.18,66656.21,66015.63,66589.93
18-July-2023,66828.96,67007.02,66574.47,66795.14
19-July-2023,66905.01,67171.38,66703.61,67097.44
20-July-2023,67074.34,67619.17,66831.38,67571.9
21-July-2023,66907.07,67190.52,66533.74,66684.26
24-July-2023,66629.14,66808.56,66326.25,66384.78
25-July-2023,66531.2,66559.29,66177.62,66355.71
26-July-2023,66434.72,66897.27,66431.34,66707.2
27-July-2023,66834.12,66984.17,66060.74,66266.82
28-July-2023,66266.35,66351.22,65878.65,66160.2
31-July-2023,66156.39,66598.42,65998.9,66527.67
1-August-2023,66532.98,66658.12,66388.26,66459.31
2-August-2023,66064.41,66261.97,65431.68,65782.78
3-August-2023,65550.82,65820.82,64963.08,65240.68
4-August-2023,65453.55,65799.27,65387.18,65721.25
7-August-2023,65811.4,66067.9,65748.25,65953.48
8-August-2023,66048.81,66057.53,65752.63,65846.5
9-August-2023,65810.96,66066.01,65444.38,65995.81
10-August-2023,65945.39,65956.25,65509.14,65688.18
11-August-2023,65727.8,65727.8,65274.61,65322.65
14-August-2023,65153.02,65517.82,64821.88,65401.92
16-August-2023,65238.67,65605.74,65032.89,65539.42
17-August-2023,65503.85,65535.14,65046.1,65151.02
18-August-2023,65025.71,65175.32,64754.72,64948.66
21-August-2023,64852.7,65335.82,64852.7,65216.09
22-August-2023,65272.42,65362.91,65165.45,65220.03
23-August-2023,65300.93,65504.71,65108.51,65433.3
24-August-2023,65722.51,65913.77,65181.94,65252.34
25-August-2023,65000.67,65106,64732.57,64886.51
28-August-2023,64908.08,65213.45,64776.92,64996.6
29-August-2023,65201.35,65229.03,64956.67,65075.82
30-August-2023,65311.58,65458.7,65052.74,65087.25
31-August-2023,65178.33,65277.04,64723.63,64831.41
1-September-2023,64855.51,65473.27,64818.37,65387.16
4-September-2023,65525.91,65683.91,65285.56,65628.14
5-September-2023,65671.6,65831.7,65601.47,65780.26
6-September-2023,65744.19,65971.13,65488.03,65880.52
7-September-2023,65854.25,66296.9,65672.34,66265.56
8-September-2023,66381.43,66766.92,66299.3,66598.91
11-September-2023,66807.73,67172.13,66735.84,67127.08
12-September-2023,67506.88,67539.1,66948.18,67221.13
13-September-2023,67188.64,67565.41,67053.36,67466.99
14-September-2023,67627.03,67771.05,67336.46,67519
15-September-2023,67659.91,67927.23,67614.42,67838.63
18-September-2023,67665.58,67803.15,67532.83,67596.84
20-September-2023,67080.18,67294.16,66728.14,66800.84
21-September-2023,66608.67,66608.67,66128.71,66230.24
22-September-2023,66215.04,66445.47,65952.83,66009.15
25-September-2023,66082.99,66225.63,65764.03,66023.69
26-September-2023,66071.63,66078.26,65865.63,65945.47
27-September-2023,65925.64,66172.27,65549.96,66118.69
28-September-2023,66406.01,66406.01,65423.39,65508.32
29-September-2023,65743.93,66151.65,65570.38,65828.41
3-October-2023,65813.42,65813.5,65344.59,65512.1
4-October-2023,65330.65,65332.52,64878.77,65226.04
5-October-2023,65598.26,65753.2,65443.34,65631.57
6-October-2023,65867.54,66095.81,65762.33,65995.63
9-October-2023,65560.07,65789.98,65434.61,65512.39
10-October-2023,65662.27,66180.17,65662.27,66079.36
11-October-2023,66376.42,66592.16,66299.79,66473.05
12-October-2023,66564.57,66577.6,66339.42,66408.39
13-October-2023,66034.21,66478.9,65895.41,66282.74
16-October-2023,66238.15,66342.75,66039.38,66166.93
17-October-2023,66558.15,66559.82,66309.18,66428.09
18-October-2023,66473.74,66475.27,65842.1,65877.02
19-October-2023,65484.61,65869.65,65343.5,65629.24
20-October-2023,65437.07,65555.14,65308.61,65397.62
23-October-2023,65419.02,65453.92,64502.68,64571.88
25-October-2023,64619.27,64787.08,63912.16,64049.06
26-October-2023,63774.16,63774.16,63092.98,63148.15
27-October-2023,63559.32,63913.13,63393.37,63782.8
30-October-2023,63885.56,64184.58,63431.45,64112.65
31-October-2023,64449.65,64452.32,63812.53,63874.93
1-November-2023,63829.87,63896.05,63550.46,63591.33
2-November-2023,64033.4,64202.64,63815.35,64080.9
3-November-2023,64444.9,64535.19,64275.39,64363.78
6-November-2023,64835.23,64992.54,64617.48,64958.69
7-November-2023,65021.29,65021.29,64638.1,64942.4
8-November-2023,65101.95,65124,64851.06,64975.61
9-November-2023,65025.32,65046.56,64768.76,64832.2
10-November-2023,64756.11,65014.06,64580.95,64904.68
12-November-2023,65418.98,65418.98,65218.6,65259.45
13-November-2023,65158.31,65176.96,64853.36,64933.87
15-November-2023,65461.54,65747.65,65373.5,65675.93
16-November-2023,65665.87,66358.37,65507.02,65982.48
17-November-2023,65788.79,66037.69,65639.74,65794.73
20-November-2023,65787.51,65844.01,65547.8,65655.15
21-November-2023,65860.46,66082.36,65849.17,65930.77
22-November-2023,65839.62,66063.43,65664.85,66023.24
23-November-2023,66084.37,66235.24,65980.5,66017.81
24-November-2023,66000.29,66101.64,65894.05,65970.04
28-November-2023,66063.72,66256.2,65906.65,66174.2
29-November-2023,66381.26,66946.28,66374.52,66901.91
30-November-2023,66963.2,67069.89,66610.35,66988.44
1-December-2023,67181.15,67564.33,67149.07,67481.19
4-December-2023,68435.34,68918.22,68274.47,68865.12
5-December-2023,69168.53,69381.31,68954.88,69296.14
6-December-2023,69534.93,69744.62,69395.01,69653.73
7-December-2023,69694.15,69695.33,69320.53,69521.69
8-December-2023,69666.38,69893.8,69506.12,69825.6
11-December-2023,69925.63,70057.83,69782.48,69928.53
12-December-2023,70020.68,70033.64,69443.85,69551.03
13-December-2023,69648.56,69657.93,69100.56,69584.6
14-December-2023,70146.09,70602.89,70110.75,70514.2
15-December-2023,70804.13,71605.76,70655.97,71483.75
18-December-2023,71437.35,71552.24,71142.29,71315.09
19-December-2023,71479.28,71623.71,71071.98,71437.19
20-December-2023,71647.66,71913.07,70302.6,70506.31
21-December-2023,69920.89,70958.71,69920.39,70865.1
22-December-2023,71045.65,71259.55,70713.56,71106.96
26-December-2023,71097.78,71471.29,71012.08,71336.8
27-December-2023,71492.02,72119.85,71473.65,72038.43
28-December-2023,72262.67,72484.34,72137.45,72410.38
29-December-2023,72351.59,72417.01,72082.64,72240.26
1-January-2024,72218.39,72561.91,72031.23,72271.94
2-January-2024,72332.85,72332.85,71613.74,71892.48
3-January-2024,71832.62,71862,71303.97,71356.6
4-January-2024,71678.93,71954.79,71546.6,71847.57
5-January-2024,72016.71,72156.48,71779.83,72026.15
8-January-2024,72113.25,72181.77,71301.04,71355.22
9-January-2024,71770.91,72035.47,71307.27,71386.21
10-January-2024,71383.2,71733.84,71110.98,71657.71
11-January-2024,71907.75,71999.47,71543.19,71721.18
12-January-2024,72148.07,72720.96,71982.29,72568.45
15-January-2024,73049.87,73402.16,72909,73327.94
16-January-2024,73331.95,73427.59,72960.29,73128.77
17-January-2024,71998.93,72484.8,71429.3,71500.76
18-January-2024,71018.86,71451.29,70665.5,71186.86
19-January-2024,71786.74,71895.64,71542.74,71683.23
20-January-2024,72008.3,72026.26,71312.71,71423.65
23-January-2024,71868.2,72039.2,70234.55,70370.55
24-January-2024,70165.49,71149.61,70001.6,71060.31
25-January-2024,71022.1,71049.46,70319.04,70700.67
29-January-2024,70968.1,72010.22,70880.54,71941.57
30-January-2024,72000.2,72142.23,71075.72,71139.9
31-January-2024,71073.04,71851.39,70846.04,71752.11
1-February-2024,71998.78,72151.02,71574.89,71645.3
2-February-2024,71977.56,73089.4,71948.77,72085.63
5-February-2024,72269.12,72385.93,71602.14,71731.42
6-February-2024,71970.82,72261.4,71625.18,72186.09
7-February-2024,72548.5,72559.21,71938.22,72152
8-February-2024,72473.42,72473.42,71230.62,71428.43
9-February-2024,71410.29,71676.49,71200.31,71595.49
12-February-2024,71722.31,71756.58,70922.57,71072.49
13-February-2024,71292.08,71662.74,70924.3,71555.19
14-February-2024,71035.25,71938.59,70809.84,71822.83
15-February-2024,72061.47,72164.97,71644.44,72050.38
16-February-2024,72406.02,72545.33,72218.1,72426.64
19-February-2024,72627.6,72881.93,72308.68,72708.16
20-February-2024,72727.87,73130.69,72510.24,73057.4
21-February-2024,73267.48,73267.8,72450.56,72623.09
22-February-2024,72677.51,73256.39,72081.36,73158.24
23-February-2024,73394.44,73413.93,73022,73142.8
26-February-2024,73044.81,73092.26,72666.82,72790.13
27-February-2024,72723.53,73161.3,72660.13,73095.22
28-February-2024,73162.82,73223.11,72222.29,72304.88
29-February-2024,72220.57,72730,72099.32,72500.3
1-March-2024,72606.31,73819.21,72591.14,73745.35
2-March-2024,73848.19,73994.7,73778.14,73806.15
4-March-2024,73903.09,73990.13,73747.01,73872.29
5-March-2024,73767.42,73915.54,73412.25,73677.13
6-March-2024,73587.7,74151.27,73321.48,74085.99
7-March-2024,74242.74,74245.17,73921.48,74119.39
11-March-2024,74175.93,74187.35,73433.91,73502.64
12-March-2024,73516.42,74004.16,73342.12,73667.96
13-March-2024,73993.4,74052.75,72515.71,72761.89
14-March-2024,72570.1,73364.3,72497.19,73097.28
15-March-2024,72886.77,72998.07,72484.82,72643.43
18-March-2024,72587.3,72985.89,72314.16,72748.42
19-March-2024,72462.94,72490.09,71933.35,72012.05
20-March-2024,72036.86,72402.67,71674.42,72101.69
21-March-2024,72507.36,72882.46,72416.03,72641.19
22-March-2024,72231.66,73115.62,72172.09,72831.94
26-March-2024,72396.97,72705.29,72363.03,72470.3
27-March-2024,72692.16,73138.73,72600.73,72996.31
28-March-2024,73149.34,74190.31,73120.33,73651.35
1-April-2024,73968.62,74254.62,73909.39,74014.55
